Model,Fold,Accuracy,Recall,F1-Score
ResNet50,1,0.7925784966698383,0.8276997749392361,0.8251187723301684
ResNet50,2,0.7450047573739296,0.778747314108799,0.7546857325769017
ResNet50,3,0.7742857142857142,0.78572171655505,0.7801227786833353
ResNeXt-50,1,0.7754519505233112,0.784599493232766,0.7864254354497444
ResNeXt-50,2,0.7193149381541389,0.7871798753447581,0.757363279471247
ResNeXt-50,3,0.6847619047619048,0.7033998871498871,0.6781629003052038
WideResNet-50,1,0.8639391056137012,0.8701420856214166,0.8668009979743982
WideResNet-50,2,0.659372026641294,0.6214759445830771,0.6100320415295255
WideResNet-50,3,0.8361904761904762,0.8517550813384147,0.836577543300471
MobileNetv2,1,0.5832540437678402,0.5784739078857977,0.5573641956501033
MobileNetv2,2,0.41198858230256896,0.4393139327396657,0.40674775930524226
MobileNetv2,3,0.5914285714285714,0.5602139681306348,0.5577246971803953
